codigo_med,nombre_med,formaf,tipomed
6127,TIAMINA CLORHIDRATO 100 mg  TABLETA,TABLETA,M
6387,VACUNA CONTRA LA HEPATITIS B ADULTO 20 ug/mL 1 DOSIS INYECTABLE,INYECTABLE,M
17563,"JERINGA DESCARTABLE 3 mL CON AGUJA 23 G X 1""   UNIDAD",UNIDAD,I
39705,BEDAQUILINA 100 mg  TABLETA,TABLETA,M
43358,KIT RESINA FOTOCURADO DE 4 g x 4 JERINGAS   UNIDAD,UNIDAD,I
47509,FRASCO DE VIDRIO GRADUADO X 180 mL CON TAPA ROSCA   UNIDAD,UNIDAD,I
23326,LIGADURA PLANA PARA EXTRACCION DE SANGRE DE 45 cm APROX.   UNIDAD,UNIDAD,I
28409,ISONIAZIDA + RIFAMPICINA 75 mg + 150 mg  TABLETA,TABLETA,M
19231,SUTURA SEDA NEGRA TRENZADA 2/0 C/A 3/8 CIRCULO CORTANTE 30 mm x 75 cm   UNIDAD,UNIDAD,I
31026,PASTA DENTIFRICA PARA NIÑOS X 90 g   UNIDAD,UNIDAD,I
45221,PRUEBA RAPIDA CUALITATIVA DE ANTIGENO ESPECIFICO PARA SARS-CoV2 (COVID-19) INMUNOENSAYO CROMATOGRAFICO  01 DETERMINACION UNIDAD,UNIDAD,I
5103,NITROFURANTOINA 100 mg  TABLETA,TABLETA,M
10230,ALCOHOL ETILICO (ETANOL) 96° 1 L SOLUCION,SOLUCION,I
2132,CLORFENAMINA MALEATO 2 mg/5 mL 120 mL JARABE,JARABE,M
40687,TORNILLO DE TITANIO 2.4 mm x 8 mm   UNIDAD,UNIDAD,I
22775,TUBO ENDOTRAQUEAL DESCARTABLE N° 8.0 CON BALON   UNIDAD,UNIDAD,I
8068,DISPOSITIVO INTRAUTERINO DE COBRE   UNIDAD,UNIDAD,I
15276,BOMBILLA DE JEBE PARA ASPIRACION Nº 06   UNIDAD,UNIDAD,I
18077,YODO POVIDONA (ESPUMA) 8.5 g/100 mL 1 L SOLUCION,SOLUCION,M
3086,ENOXAPARINA SODICA 40 mg/0.4 mL 0.4 mL INYECTABLE,INYECTABLE,M
42187,PRUEBA RAPIDA INMUNOCROMATOGRAFICA PARA VIH 4TA GENERACION  30 DETERMINACIONES UNIDAD,UNIDAD,I
2891,DIMENHIDRINATO 50 mg  TABLETA,TABLETA,M
23146,LAMINA PORTA OBJETO 25 mm X 75 mm X 50 UNIDADES   UNIDAD,UNIDAD,I
